gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1519710000	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	fe4d9ed0-e11b-4256-a4f2-361c3788ae96	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Lasiommata	Lasiommata megera		SPECIES	Lasiommata megera (Linnaeus, 1767)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	53.15428	-4.35686	1000.0						1981-05-24T00:00:00Z	24	5	1981	4535632	4535632	HUMAN_OBSERVATION	Biological Records Centre	1		1523505			CC_BY_4_0					2018-12-09T21:26:05.307Z		
1519710001	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	939940a0-e911-402d-a93f-9a1a1afecd31	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Gonepteryx	Gonepteryx rhamni		SPECIES	Gonepteryx rhamni (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.57736	-1.96532	1000.0						2000-04-19T00:00:00Z	19	4	2000	1920712	1920712	HUMAN_OBSERVATION	Biological Records Centre	1		2311774			CC_BY_4_0					2018-12-09T21:26:05.294Z		
1519710002	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	09902605-d757-4b87-a6d2-aac1f504a2ca	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Coenonympha	Coenonympha pamphilus		SPECIES	Coenonympha pamphilus (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	52.08763	-0.37406	1000.0						2007-06-25T00:00:00Z	25	6	2007	1911461	1911461	HUMAN_OBSERVATION	Biological Records Centre	1		2898157			CC_BY_4_0					2018-12-09T21:26:05.275Z		
1519710003	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	9db7400b-3866-4183-b968-816e740e48d1	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina		SPECIES	Maniola jurtina (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.39003	-4.90645	1000.0						2010-08-09T00:00:00Z	9	8	2010	5135513	5135513	HUMAN_OBSERVATION	Biological Records Centre	1		3904806			CC_BY_4_0					2018-12-09T21:26:05.243Z		
1519710004	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	7ea5094e-c944-4c11-871b-d842678e710b	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa cardui		SPECIES	Vanessa cardui (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	54.15482	-2.77476	1000.0						2009-07-02T00:00:00Z	2	7	2009	4299368	4299368	HUMAN_OBSERVATION	Biological Records Centre	1		3503568			CC_BY_4_0					2018-12-09T21:26:05.282Z		
1519710005	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	d82284f2-0f2c-49fb-83ec-f00854732eda	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Pararge	Pararge aegeria		SPECIES	Pararge aegeria (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.20572	-5.39983	1000.0						2014-06-18T00:00:00Z	18	6	2014	8049830	8049830	HUMAN_OBSERVATION	Biological Records Centre	1		4923907			CC_BY_4_0					2018-12-09T21:26:05.268Z		
1519710006	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	b1375c35-0e3e-4042-8065-faef1ea10da0	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Coenonympha	Coenonympha pamphilus		SPECIES	Coenonympha pamphilus (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.88811	-0.82848	1000.0						2015-05-04T00:00:00Z	4	5	2015	1911461	1911461	HUMAN_OBSERVATION	Biological Records Centre	1		5723715			CC_BY_4_0					2018-12-09T21:26:05.010Z		
1519710007	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	d6a75ec6-01e3-45cb-961e-6113feac1db4	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aglais	Aglais urticae		SPECIES	Aglais urticae (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.77068	-3.8946	1000.0						1997-04-09T00:00:00Z	9	4	1997	1894840	1894840	HUMAN_OBSERVATION	Biological Records Centre	1		2692843			CC_BY_4_0					2018-12-09T21:26:05.253Z		
1519710008	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	abb13725-e801-4af7-8c73-872dd517125c	Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes	Ochlodes sylvanus		SPECIES	Ochlodes sylvanus (Esper, 1777)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.78436	-2.63261	1000.0						2004-06-13T00:00:00Z	13	6	2004	1946844	1946844	HUMAN_OBSERVATION	Biological Records Centre	1		1051298			CC_BY_4_0					2018-12-09T21:26:05.014Z		
